batsman,bowler,runs,balls,dismissals
Kamran Akmal,L Balaji,7,2,0
CR Brathwaite,MP Stoinis,2,2,0
ML Hayden,A Kumble,24,36,2
J Archer,M Ur Rahman,0,1,1
MK Pandey,S Gopal,23,14,2
MK Tiwary,AD Mascarenhas,1,4,0
M Vijay,R Bhatia,13,7,1
AB de Villiers,SK Trivedi,38,24,1
PP Ojha,A Nehra,1,1,0
EJG Morgan,P Kumar,20,15,0
KK Nair,AD Mathews,10,9,0
L Livingstone,KH Pandya,1,2,1
DL Vettori,AB Agarkar,9,3,0
CH Gayle,M Morkel,61,42,2
DJG Sammy,DS Kulkarni,2,2,0
DB Das,MM Patel,7,7,0
MC Henriques,KC Cariappa,6,5,0
R McLaren,KP Pietersen,0,1,1
SB Jakati,A Nehra,2,2,0
AB de Villiers,L Ablish,2,3,0
Yuvraj Singh,NLTC Perera,13,6,0
S Dhawan,SA Abbott,10,6,0
V Sehwag,RJ Harris,18,15,0
AB de Villiers,A Flintoff,34,12,0
UBT Chand,M Kartik,12,12,0
DA Warner,MJ McClenaghan,52,33,2
CM Gautam,S Badree,9,8,1
SE Marsh,V Kohli,11,7,0
JEC Franklin,BW Hilfenhaus,0,8,1
SR Tendulkar,PP Chawla,61,53,2
HH Gibbs,A Mishra,5,12,1
KS Williamson,KH Pandya,2,3,1
Yuvraj Singh,BJ Hodge,6,7,1
JP Faulkner,J Botha,2,3,0
AT Rayudu,Mohammed Shami,27,15,1
V Sehwag,SC Ganguly,23,11,0
Q de Kock,BA Stokes,1,1,0
JC Buttler,S Nadeem,12,5,0
MJ Guptill,AR Patel,6,2,0
AR Patel,JP Faulkner,11,10,0
Ishan Kishan,SP Narine,7,4,1
SK Raina,RP Singh,26,25,1
AN Ghosh,JH Kallis,1,2,0
SK Raina,Iqbal Abdulla,55,29,0
SR Watson,Mohammed Shami,13,16,1
S Dhawan,YK Pathan,42,40,1
PA Patel,VS Malik,1,3,1
KA Pollard,SR Watson,75,39,1
DJ Bravo,A Singh,8,4,0
AP Dole,SL Malinga,7,5,0
AB de Villiers,JJ Bumrah,71,60,2
DH Yagnik,Z Khan,1,4,0
MK Pandey,JD Unadkat,19,19,1
SP Narine,GJ Maxwell,22,7,0
C de Grandhomme,RA Jadeja,2,5,1
YK Pathan,I Sharma,36,20,0
Sachin Baby,KV Sharma,1,2,0
TL Suman,B Lee,4,3,0
E Lewis,S Kaul,6,4,1
Yuvraj Singh,BCJ Cutting,2,3,0
DA Warner,KV Sharma,3,3,0
YK Pathan,SB Jakati,28,30,2
J Archer,Mustafizur Rahman,1,2,0
S Dhawan,Mohammad Nabi,16,15,1
R Dravid,SM Pollock,6,17,0
PA Patel,DW Steyn,51,45,1
SC Ganguly,JEC Franklin,5,8,0
DJ Bravo,Shakib Al Hasan,4,4,0
TM Dilshan,SR Watson,14,13,1
R Singh,Harbhajan Singh,10,9,1
A Kumble,R McLaren,1,3,0
NL McCullum,R Ashwin,3,3,0
S Badrinath,Shoaib Malik,3,3,0
R Sathish,SR Watson,1,2,0
G Gambhir,M Kartik,17,20,1
NV Ojha,R Shukla,7,2,0
MS Dhoni,KH Pandya,17,19,0
HV Patel,MM Sharma,1,1,0
MD Mishra,KMDN Kulasekara,1,4,0
CH Gayle,DJ Hussey,4,5,0
T Henderson,LR Shukla,0,1,0
A Symonds,B Akhil,2,2,0
AJ Finch,M Ali,7,4,1
AB de Villiers,AB Dinda,50,17,0
YK Pathan,SB Styris,8,6,0
AJ Finch,BB Sran,26,16,0
MS Dhoni,BAW Mendis,10,10,0
Mandeep Singh,A Nehra,29,14,0
PJ Sangwan,DJ Bravo,3,4,0
OA Shah,MS Gony,9,10,0
J Botha,RJ Harris,1,1,0
MJ Lumb,DW Steyn,2,7,0
NLTC Perera,AB Dinda,1,3,1
AN Ahmed,B Kumar,0,1,1
MV Boucher,AB Dinda,7,7,0
HH Pandya,AS Rajpoot,7,2,0
LRPL Taylor,R Sharma,6,15,0
Mandeep Singh,M Kartik,12,7,0
JP Duminy,PV Tambe,17,15,1
AD Russell,BE Hendricks,5,2,0
RV Uthappa,AC Voges,4,1,0
JP Faulkner,KK Cooper,3,2,0
AT Rayudu,K Paul,8,5,0
Rashid Khan,SL Malinga,1,2,0
AL Menaria,RA Jadeja,14,14,0
HH Gibbs,Shakib Al Hasan,11,20,0
MEK Hussey,P Negi,1,1,0
KD Karthik,ST Jayasuriya,19,11,0
DJ Hooda,R Dhawan,1,2,0
DB Das,DJ Bravo,22,12,1
JR Hopes,PP Ojha,2,2,0
A Ashish Reddy,P Kumar,6,4,0
PP Chawla,IK Pathan,4,6,0
MC Henriques,S Aravind,21,10,0
V Sehwag,Harmeet Singh,13,16,2
SK Raina,Yuvraj Singh,8,5,1
GB Hogg,MM Patel,1,2,1
PA Patel,Anureet Singh,9,6,0
BR Dunk,AB Dinda,11,5,0
AC Voges,UT Yadav,8,7,0
MM Sharma,A Zampa,4,6,1
S Chanderpaul,SM Pollock,2,2,0
MS Bisla,MF Maharoof,2,2,0
F du Plessis,Sandeep Sharma,41,28,1
AT Rayudu,Yuvraj Singh,26,31,1
MS Dhoni,Parvez Rasool,6,8,0
GJ Maxwell,M Ashwin,12,4,0
M Klinger,IK Pathan,14,15,0
DJ Bravo,BB Sran,2,4,2
BJ Hodge,A Nehra,4,12,2
MP Stoinis,Z Khan,6,6,1
RA Tripathi,M Ali,15,9,0
DH Yagnik,CH Gayle,1,1,0
JP Duminy,KW Richardson,17,11,1
MS Dhoni,K Goel,11,4,0
Yashpal Singh,TM Dilshan,1,2,0
YK Pathan,R Rampaul,3,3,0
S Kaul,DJ Bravo,4,5,0
AC Gilchrist,JH Kallis,56,42,0
KD Karthik,AM Salvi,15,7,1
J Botha,I Sharma,9,10,0
S Nadeem,PP Ojha,1,2,1
AJ Finch,R Sharma,4,3,0
R Dravid,AG Murtaza,4,5,0
CH Gayle,IK Pathan,65,36,1
KK Cooper,JP Duminy,6,2,1
M Kartik,MM Patel,1,3,0
N Saini,AUK Pathan,1,2,0
TM Dilshan,S Tyagi,8,7,0
AM Nayar,YS Chahal,4,4,0
CJ Anderson,M Morkel,6,12,1
NLTC Perera,GJ Maxwell,2,4,0
GJ Bailey,AR Patel,1,4,1
KD Karthik,VR Aaron,32,19,0
Y Venugopal Rao,M Ntini,3,5,0
KK Nair,DJ Bravo,41,18,2
Bipul Sharma,R Sharma,15,8,0
YK Pathan,BW Hilfenhaus,19,6,0
PA Patel,TA Boult,16,13,0
MJ McClenaghan,MC Henriques,2,3,0
JJ Bumrah,JD Unadkat,2,4,0
PP Chawla,MC Henriques,1,2,0
BB McCullum,P Kumar,41,31,1
G Gambhir,D Salunkhe,3,3,0
MA Agarwal,DJ Bravo,11,15,1
SS Iyer,Harbhajan Singh,41,32,1
Ishan Kishan,M Wood,2,5,0
V Sehwag,SW Tait,17,10,1
SL Malinga,DE Bollinger,1,1,0
AT Rayudu,Ankit Sharma,17,15,0
RA Jadeja,Mohammed Shami,18,11,0
SPD Smith,Swapnil Singh,2,3,0
V Sehwag,I Sharma,15,23,1
Yuvraj Singh,IC Pandey,9,8,0
Yuvraj Singh,JO Holder,8,6,1
GJ Maxwell,TG Southee,15,9,0
RG Sharma,A Nehra,62,37,2
TM Dilshan,MC Henriques,7,7,0
KD Karthik,YS Chahal,29,27,0
J Theron,L Balaji,0,1,0
KD Karthik,SM Pollock,7,8,0
MEK Hussey,SMSM Senanayake,7,12,0
E Lewis,S Nadeem,9,6,0
MC Henriques,MG Johnson,3,3,0
YK Pathan,LMP Simmons,9,6,0
GJ Maxwell,PP Chawla,54,36,3
R Dravid,P Negi,19,15,0
KD Karthik,K Gowtham,9,4,0
J Archer,SN Thakur,21,10,0
KP Pietersen,R Dhawan,21,13,1
HH Gibbs,A Nehra,0,2,1
G Gambhir,J Syed Mohammad,8,5,0
JA Morkel,D Salunkhe,2,2,0
MS Wade,SS Mundhe,1,1,0
SD Chitnis,M Morkel,0,3,0
GH Vihari,SP Narine,1,1,0
P Dogra,R Sathish,22,7,0
KS Williamson,AR Patel,16,12,0
AB de Villiers,AG Murtaza,18,18,1
TL Suman,SR Watson,4,2,1
AR Patel,PJ Cummins,2,2,0
ST Jayasuriya,Pankaj Singh,13,5,0
SE Marsh,RV Gomez,1,1,0
Y Nagar,R Bhatia,4,3,0
Mandeep Singh,GH Vihari,1,4,0
RN ten Doeschate,AD Mathews,24,12,0
AR Patel,NLTC Perera,0,1,1
CH Morris,YS Chahal,7,5,0
R Ashwin,DT Christian,1,1,0
CA Lynn,I Sodhi,8,12,0
SB Bangar,Kamran Khan,1,6,1
AM Rahane,B Lee,1,8,0
DB Ravi Teja,V Kohli,1,2,1
YK Pathan,AD Mathews,19,23,0
FY Fazal,MF Maharoof,0,2,1
M Vijay,Mustafizur Rahman,0,2,1
NV Ojha,A Kumble,9,7,0
RA Tripathi,N Saini,5,4,0
SE Marsh,JP Faulkner,44,29,0
SJ Srivastava,SL Malinga,3,2,0
R Bhatia,IK Pathan,3,13,1
SS Tiwary,RN ten Doeschate,3,4,1
L Livingstone,Rashid Khan,15,8,1
AB de Villiers,Yuvraj Singh,6,6,0
SP Fleming,SB Styris,1,3,1
D Wiese,JJ Bumrah,8,3,0
B Chipli,UT Yadav,1,1,0
Mandeep Singh,S Gopal,3,6,1
GJ Bailey,B Kumar,16,16,1
STR Binny,B Kumar,19,15,1
Yuvraj Singh,K Rabada,30,13,1
AR Patel,SK Raina,6,3,0
CR Brathwaite,SN Thakur,40,16,1
GH Vihari,PP Ojha,18,17,0
KP Pietersen,KJ Abbott,0,1,1
BJ Hodge,VY Mahesh,3,5,0
RR Pant,Mohammed Shami,6,2,1
SPD Smith,PP Ojha,3,7,1
LA Carseldine,SB Jakati,2,2,0
JD Ryder,M Morkel,25,12,1
JJ Bumrah,MM Sharma,1,1,0
A Ashish Reddy,JP Duminy,1,1,0
Yuvraj Singh,DE Bollinger,16,11,0
Basil Thampi,JJ Bumrah,1,2,0
HH Gibbs,BJ Hodge,12,12,0
S Sohal,DL Vettori,4,7,0
ST Jayasuriya,Shoaib Akhtar,27,7,0
S Dhawan,IK Pathan,56,46,2
JP Duminy,VS Malik,10,7,0
PR Shah,AM Salvi,4,6,0
SP Fleming,A Nehra,1,2,0
AC Gilchrist,VY Mahesh,23,8,0
SS Tiwary,DS Kulkarni,11,10,0
AP Tare,MA Starc,1,3,0
N Rana,K Rabada,2,2,0
TG Southee,D Willey,8,7,0
JP Faulkner,NM Coulter-Nile,10,5,0
MA Agarwal,R Ashwin,39,26,3
M Vohra,K Santokie,6,4,0
MS Dhoni,HV Patel,22,27,2
LA Pomersbach,R Vinay Kumar,1,2,0
WP Saha,DW Steyn,17,12,1
KL Rahul,BA Stokes,21,17,0
AP Dole,Z Khan,7,5,0
DH Yagnik,BA Bhatt,7,6,0
DA Warner,TS Mills,4,4,0
Azhar Mahmood,AB McDonald,0,2,0
JP Duminy,RS Bopara,29,14,0
JR Hopes,SM Pollock,0,1,1
DJ Hussey,SR Watson,0,2,1
RA Jadeja,S Nadeem,6,3,0
PA Patel,Kuldeep Yadav,9,6,1
A Nehra,KA Pollard,0,1,1
Shoaib Malik,P Kumar,6,3,0
A Mukund,Sohail Tanvir,0,1,1
J Denly,I Sharma,0,1,1
Ishan Kishan,NLTC Perera,0,1,0
A Flintoff,MK Tiwary,3,3,0
RV Uthappa,MP Stoinis,17,18,1
AB de Villiers,RA Jadeja,104,79,1
MA Agarwal,B Lee,8,7,0
RV Uthappa,Shakib Al Hasan,37,29,0
PA Patel,R Sharma,1,3,1
YV Takawale,VY Mahesh,0,1,1
DJG Sammy,VR Aaron,7,2,0
PA Patel,S Aravind,3,4,1
DJ Hussey,M Ntini,0,1,1
PC Valthaty,SK Raina,1,2,0
VY Mahesh,SK Warne,2,5,0
SW Billings,I Sodhi,0,4,0
KS Williamson,SN Thakur,31,25,2
G Gambhir,PP Ojha,55,42,5
BJ Hodge,B Kumar,18,11,0
SK Trivedi,L Balaji,0,1,1
DA Warner,DT Christian,27,21,0
A Zampa,Z Khan,0,1,0
KS Williamson,RA Jadeja,35,27,0
C Ingram,N Rana,3,3,0
SP Goswami,BJ Hodge,2,5,1
NV Ojha,JH Kallis,14,19,1
AB McDonald,P Awana,7,6,0
Azhar Mahmood,NM Coulter-Nile,10,4,0
AP Tare,R Ashwin,4,5,0
Ishan Kishan,JP Duminy,1,2,0
AD Mascarenhas,SL Malinga,5,4,0
SK Raina,L Balaji,20,17,0
JEC Franklin,Z Khan,7,6,1
CL White,P Awana,5,5,0
PJ Sangwan,Sandeep Sharma,0,1,1
BCJ Cutting,P Krishna,8,4,0
SP Narine,DW Steyn,14,11,0
RA Jadeja,Pankaj Singh,4,2,1
SA Asnodkar,SK Raina,6,3,0
KD Karthik,Z Khan,20,16,0
J Suchith,MA Starc,2,2,0
Q de Kock,S Curran,3,3,0
JH Kallis,J Syed Mohammad,4,11,0
CA Lynn,CH Morris,15,12,0
AS Rajpoot,Mohammed Siraj,1,5,0
JP Duminy,DJ Hussey,2,5,0
SE Marsh,SB Jakati,28,11,0
JP Duminy,KH Pandya,8,8,0
Misbah-ul-Haq,SB Bangar,5,9,0
JD Ryder,A Chandila,1,2,1
KL Rahul,A Mishra,47,17,0
NM Coulter-Nile,D Wiese,4,3,1
SR Watson,DS Kulkarni,48,42,2
MP Stoinis,CJ Jordan,22,10,0
DA Warner,DR Smith,17,7,0
S Aravind,VR Aaron,2,1,0
RV Uthappa,KV Sharma,32,29,3
S Dhawan,D Willey,18,9,0
RG Sharma,DL Chahar,29,24,2
JP Faulkner,Mohammed Siraj,5,3,1
SV Samson,R Vinay Kumar,45,36,1
RG Sharma,R Dhawan,18,15,0
JJ Bumrah,IK Pathan,0,1,0
CH Gayle,Sandeep Sharma,58,54,4
KK Nair,Yuvraj Singh,17,13,1
MK Tiwary,AD Russell,13,14,0
S Rana,RA Jadeja,1,1,0
CR Brathwaite,Mustafizur Rahman,0,2,1
P Negi,CH Gayle,3,5,1
NV Ojha,Rashid Khan,0,1,0
AR Patel,DJ Bravo,27,28,3
AM Nayar,Z Khan,2,3,0
KS Williamson,Mustafizur Rahman,11,7,1
MK Pandey,P Krishna,11,8,1
A Mishra,DE Bollinger,2,5,1
SV Samson,MS Gony,11,4,0
PR Shah,P Parameswaran,1,1,0
KS Williamson,DL Chahar,49,38,0
Salman Butt,JA Morkel,11,8,0
KH Pandya,MM Sharma,17,8,1
Q de Kock,J Archer,31,20,1
DB Ravi Teja,PP Chawla,30,14,0
V Sehwag,VRV Singh,20,10,0
R Bishnoi,VS Malik,12,8,0
STR Binny,JD Unadkat,14,9,0
JJ Bumrah,DT Christian,12,5,0
CH Gayle,MF Maharoof,5,3,0
DJ Bravo,S Tyagi,6,4,1
CA Lynn,Rashid Khan,23,24,1
KM Jadhav,A Nehra,17,7,0
MV Boucher,Harbhajan Singh,16,10,0
JD Ryder,M Kartik,3,5,0
MS Bisla,R Shukla,0,1,1
CA Lynn,K Rabada,9,7,1
MS Dhoni,S Curran,25,13,0
A Flintoff,A Nehra,3,4,1
GB Hogg,Z Khan,3,3,0
HH Pandya,DJ Bravo,55,37,1
MS Dhoni,UT Yadav,62,34,1
MK Pandey,DJ Bravo,38,26,2
DR Smith,J Suchith,37,16,0
R Tewatia,R Ashwin,3,5,1
R Dravid,CK Langeveldt,6,8,0
A Chopra,PP Chawla,1,1,0
DA Warner,Shakib Al Hasan,19,13,1
KW Richardson,Harbhajan Singh,0,1,0
SV Samson,KV Sharma,9,9,1
TL Suman,MM Patel,5,7,0
M Kaif,AC Thomas,6,3,0
Y Nagar,JA Morkel,4,5,0
KV Sharma,Harmeet Singh,11,4,0
CA Lynn,A Choudhary,14,6,0
AM Rahane,R Dhawan,14,17,1
RV Uthappa,B Lee,19,6,0
DA Warner,M Morkel,40,24,2
AJ Tye,DJ Bravo,3,4,0
Yuvraj Singh,WPUJC Vaas,4,6,1
CH Gayle,J Archer,19,19,2
TA Boult,DJ Bravo,1,1,0
WPUJC Vaas,Umar Gul,5,3,0
AB de Villiers,S Gopal,21,28,4
Ishan Kishan,HH Pandya,1,1,0
Basil Thampi,A Nehra,1,1,0
Shoaib Malik,DJ Bravo,6,4,0
WP Saha,MC Henriques,32,23,2
CH Morris,SL Malinga,2,4,2
S Singh,Mohammad Nabi,0,3,0
Harbhajan Singh,Z Khan,13,8,0
LRPL Taylor,Shakib Al Hasan,11,14,0
Y Nagar,B Akhil,3,5,0
AD Mathews,DL Vettori,5,7,0
MS Gony,Harbhajan Singh,0,3,1
AD Mascarenhas,NLTC Perera,4,3,0
GH Vihari,Harbhajan Singh,6,6,0
NV Ojha,P Awana,1,6,0
JC Buttler,Bipul Sharma,5,5,0
TM Dilshan,FH Edwards,18,8,0
MA Agarwal,SR Watson,12,7,0
DA Miller,AB McDonald,6,8,1
SR Tendulkar,B Akhil,7,8,0
GJ Maxwell,VR Aaron,0,1,1
AP Tare,B Stanlake,9,9,0
DJ Bravo,JP Faulkner,27,18,0
RD Chahar,PP Chawla,1,1,0
AJ Finch,P Kumar,8,10,0
MS Dhoni,L Plunkett,2,2,0
SC Ganguly,R Vinay Kumar,10,17,3
AM Rahane,CH Morris,37,21,0
N Rana,SK Raina,11,9,0
BB McCullum,M Markande,13,7,0
Ankit Soni,S Kaul,0,3,1
STR Binny,DE Bollinger,6,5,0
JH Kallis,M Kartik,19,28,1
NV Ojha,VR Aaron,15,10,2
R Dhawan,TA Boult,3,3,0
SPD Smith,MM Patel,13,8,1
AM Rahane,LR Shukla,4,4,0
S Gopal,KV Sharma,3,3,0
MR Marsh,I Sharma,0,1,0
IK Pathan,RR Powar,8,4,0
KD Karthik,BE Hendricks,8,7,2
MA Agarwal,R Dhawan,10,6,0
PJ Sangwan,KA Pollard,2,3,0
PA Patel,AN Ahmed,10,8,0
DR Smith,KW Richardson,7,4,1
CH Morris,N Saini,0,3,1
SPD Smith,TA Boult,6,4,0
P Shaw,Basil Thampi,4,6,0
S Badrinath,SP Narine,2,3,0
Y Nagar,PJ Sangwan,1,1,0
KC Sangakkara,DP Nannes,3,5,0
M Ali,KH Pandya,8,4,0
TM Dilshan,JP Faulkner,10,10,0
MS Dhoni,P Awana,20,15,1
WD Parnell,MM Patel,1,2,1
DJ Hooda,Yuvraj Singh,2,2,0
MS Dhoni,AB McDonald,11,4,0
MS Dhoni,DP Nannes,0,3,2
YK Pathan,J Suchith,12,5,0
Mandeep Singh,CR Woakes,13,7,0
G Gambhir,KJ Abbott,8,7,0
WP Saha,AS Rajpoot,6,7,1
MP Stoinis,DJ Bravo,10,11,1
DB Das,AN Ahmed,1,2,0
P Shaw,KH Pandya,2,2,0
L Balaji,RG Sharma,1,2,0
DL Vettori,JR Hopes,7,6,0
AM Rahane,S Curran,13,7,0
S Sohal,S Randiv,11,5,0
R Dravid,AD Russell,16,10,0
LRPL Taylor,BAW Mendis,15,9,0
S Dhawan,V Kohli,6,3,0
EJG Morgan,MM Sharma,22,16,1
SV Samson,SL Malinga,16,13,1
BJ Hodge,AR Patel,4,4,1
S Badrinath,Y Venugopal Rao,4,1,0
PD Collingwood,MR Marsh,4,3,0
AT Rayudu,NLTC Perera,27,21,0
M Manhas,P Awana,1,2,0
DJ Hussey,L Balaji,8,8,0
B Chipli,S Sreesanth,0,1,0
SW Billings,Imran Tahir,2,4,1
DJ Bravo,SB Bangar,15,6,0
IR Jaggi,A Nehra,4,3,0
SE Marsh,AD Russell,8,3,0
G Gambhir,RE van der Merwe,1,2,0
KS Williamson,AB Dinda,1,3,0
KC Cariappa,YS Chahal,0,1,0
SP Narine,BA Stokes,5,4,1
AJ Tye,L Plunkett,1,3,0
RR Pant,K Ahmed,2,3,1
AB Agarkar,IK Pathan,1,2,0
MJ Lumb,PP Ojha,2,2,0
M Vijay,M de Lange,19,10,0
PA Patel,Y Nagar,2,2,0
P Kumar,RP Singh,10,5,0
Mandeep Singh,KK Cooper,1,2,0
KL Rahul,PP Ojha,12,13,0
S Sohal,R Ninan,9,5,1
R Parag,TA Boult,15,7,1
N Saini,Z Khan,13,12,1
CA Lynn,A Chandila,1,3,0
CR Brathwaite,DS Kulkarni,1,3,1
SPD Smith,KP Appanna,11,10,0
KP Pietersen,Karanveer Singh,8,7,0
TG Southee,L Ngidi,2,2,0
A Kumble,AB McDonald,1,1,0
B Sumanth,UT Yadav,1,1,0
DJ Jacobs,RP Singh,2,11,0
SPD Smith,SR Watson,10,9,0
V Sehwag,P Suyal,10,8,0
J Searles,BB Sran,6,1,0
V Kohli,RP Singh,62,37,2
V Kohli,Iqbal Abdulla,11,12,0
P Shaw,MG Johnson,24,11,0
HV Patel,DAJ Bracewell,0,1,1
GJ Bailey,JP Duminy,6,5,0
J Archer,HH Pandya,0,1,1
JR Hopes,M Ntini,0,2,1
SE Marsh,Umar Gul,4,6,0
Yuvraj Singh,P Amarnath,14,7,1
AM Nayar,WD Parnell,5,5,0
GJ Bailey,SP Narine,25,22,1
CL White,Harbhajan Singh,8,4,0
MS Dhoni,DJ Bravo,55,31,0
MK Pandey,UT Yadav,49,33,0
WP Saha,IC Pandey,8,5,0
S Badrinath,V Kohli,11,8,0
PP Ojha,L Balaji,1,1,0
YK Pathan,UT Yadav,22,22,2
G Gambhir,M Ntini,12,8,0
AB de Villiers,JP Faulkner,62,30,1
SC Ganguly,Z Khan,11,14,2
SV Samson,S Sharma,17,10,0
MS Dhoni,MN Samuels,16,8,0
SV Samson,M Markande,22,12,0
M Rawat,Umar Gul,1,1,0
S Dhawan,RR Powar,15,8,1
S Kaul,M Markande,2,5,0
SR Tendulkar,MF Maharoof,26,15,0
S Badree,AR Patel,0,1,1
RG Sharma,B Kumar,42,35,1
Mandeep Singh,L Ferguson,15,6,0
STR Binny,AR Patel,3,7,0
R Dravid,MM Sharma,8,11,0
Sandeep Sharma,CR Brathwaite,1,1,0
UT Yadav,WPUJC Vaas,2,2,0
V Sehwag,AB Agarkar,15,9,1
Shakib Al Hasan,C de Grandhomme,6,5,0
S Dube,Mohammad Nabi,0,3,1
Harbhajan Singh,R Vinay Kumar,5,5,0
MG Johnson,R McLaren,9,3,0
SA Asnodkar,V Kohli,8,7,0
R Dravid,R McLaren,1,1,0
AJ Finch,DL Vettori,5,5,0
MJ Guptill,A Nehra,14,5,0
ST Jayasuriya,CK Kapugedera,26,5,0
AM Rahane,M Kartik,13,13,0
BJ Hodge,CH Gayle,2,6,0
AD Nath,J Archer,0,1,0
SPD Smith,M Santner,6,7,0
JP Duminy,RG Sharma,12,10,1
TG Southee,I Sodhi,3,4,0
RR Rossouw,JJ Bumrah,2,2,0
Ishan Kishan,YS Chahal,6,2,1
SE Marsh,S Tyagi,2,4,0
V Kohli,Imran Tahir,20,16,0
AS Yadav,M Ur Rahman,1,2,0
WP Saha,KP Appanna,12,6,0
RR Sarwan,MS Gony,1,2,0
DR Smith,RR Raje,9,5,0
PA Patel,MJ McClenaghan,12,7,0
AM Rahane,A Mithun,16,9,0
KH Pandya,N Saini,1,1,0
SK Raina,A Mishra,102,79,4
BJ Hodge,GR Napier,22,16,0
Kamran Khan,A Kumble,0,1,1
G Gambhir,A Choudhary,2,3,0
M Vohra,M Markande,9,6,1
RS Bopara,TG Southee,2,2,0
TM Dilshan,A Ashish Reddy,16,13,0
S Sohal,DS Kulkarni,18,11,1
Karanveer Singh,CH Morris,5,4,0
SP Narine,SL Malinga,15,9,0
DB Ravi Teja,DP Nannes,1,6,1
SR Watson,PP Chawla,87,50,3
JH Kallis,L Balaji,17,11,2
V Kohli,SB Jakati,74,57,2
AJ Finch,Z Khan,31,19,1
LA Pomersbach,IK Pathan,9,4,0
Y Venugopal Rao,Sandeep Sharma,2,4,1
Mandeep Singh,V Pratap Singh,35,16,0
KK Nair,Imran Tahir,13,10,0
MK Pandey,R Bhatia,18,15,0
J Botha,Anureet Singh,0,1,0
PP Chawla,JJ Bumrah,5,7,0
KL Rahul,L Balaji,3,7,0
V Kohli,KJ Abbott,18,10,0
P Shaw,N Rana,6,3,0
VR Aaron,CR Woakes,3,4,1
KA Pollard,Ankit Sharma,10,6,0
N Pooran,M Ali,17,9,0
R Dravid,JEC Franklin,4,1,0
Sandeep Sharma,YS Chahal,5,3,1
J Suchith,YS Chahal,2,2,1
B Lee,KK Cooper,5,3,1
R Ashwin,PV Tambe,4,4,0
G Gambhir,KK Cooper,2,3,0
JP Duminy,UT Yadav,15,13,0
RV Uthappa,Ankit Sharma,3,3,0
DJ Bravo,Shahid Afridi,19,10,0
A Symonds,SK Raina,5,9,0
P Shaw,S Mavi,6,7,0
Harbhajan Singh,MM Patel,2,2,0
RN ten Doeschate,M Morkel,11,4,1
J Bairstow,KC Cariappa,13,5,0
Parvez Rasool,MG Johnson,1,1,0
F du Plessis,RR Bhatkal,18,5,0
SS Iyer,UT Yadav,53,35,0
DJ Hussey,Parvez Rasool,6,7,0
GH Vihari,MJ McClenaghan,2,2,0
GJ Bailey,P Kumar,15,9,0
AJ Tye,SP Narine,2,2,0
B Chipli,R Sathish,5,4,0
WP Saha,Imran Tahir,3,3,1
M Vijay,SL Malinga,43,45,0
G Gambhir,CL White,3,3,0
Sachin Baby,MM Sharma,6,6,0
S Gopal,WD Parnell,7,5,0
AB de Villiers,S Kaul,48,21,1
AS Yadav,H Gurney,19,14,0
LA Pomersbach,A Symonds,1,2,0
MK Pandey,S Tyagi,15,17,0
DT Christian,DJ Bravo,8,7,0
RG Sharma,B Laughlin,19,10,0
MA Agarwal,Imran Tahir,3,5,1
MJ McClenaghan,R Ashwin,6,1,0
MS Gony,Shoaib Malik,11,3,0
AD Nath,MJ McClenaghan,0,1,1
AB de Villiers,RD Chahar,14,13,0
ML Hayden,RR Powar,14,14,2
DR Smith,Iqbal Abdulla,82,49,1
SA Asnodkar,DR Smith,8,7,0
DR Smith,RP Singh,4,7,0
MR Marsh,KV Sharma,1,1,0
CK Kapugedera,DS Kulkarni,0,2,1
YV Takawale,A Nehra,2,3,0
AB de Villiers,A Ashish Reddy,46,18,0
OA Shah,WPUJC Vaas,11,4,0
BJ Hodge,Y Nagar,12,5,0
SV Samson,AB Dinda,32,15,0
AF Milne,MJ McClenaghan,0,1,0
MJ McClenaghan,PP Chawla,13,4,0
Yuvraj Singh,I Sharma,20,15,1
MS Bisla,DJ Bravo,38,17,0
V Sehwag,IC Pandey,29,21,1
Mandeep Singh,S Rutherford,2,2,0
IK Pathan,AB Dinda,17,9,0
BA Stokes,YS Chahal,0,2,1
KP Pietersen,SR Watson,18,16,1
LR Shukla,M Ntini,4,4,0
OA Shah,JP Faulkner,3,3,0
F du Plessis,GJ Maxwell,6,5,0
EJG Morgan,CH Morris,23,14,0
SK Trivedi,A Kumble,0,1,0
R McLaren,PP Ojha,2,3,0
Z Khan,R Ashwin,2,3,0
M Kaif,SC Ganguly,6,4,0
IK Pathan,R Vinay Kumar,13,9,0
Karanveer Singh,MA Starc,3,5,1
DR Smith,AS Raut,2,2,0
CL White,VS Malik,7,6,0
GH Vihari,KA Pollard,4,3,0
KV Sharma,A Mishra,6,3,0
JJ Roy,YS Chahal,2,10,2
E Lewis,A Mishra,8,7,1
RV Uthappa,Harbhajan Singh,77,48,2
DJ Hussey,KK Cooper,14,7,0
VVS Laxman,JA Morkel,5,11,1
MV Boucher,CRD Fernando,0,2,1
AM Rahane,GS Sandhu,21,12,0
DJ Hussey,PP Chawla,4,7,2
JDP Oram,PP Ojha,1,2,0
AM Rahane,M Morkel,88,68,1
WP Saha,SM Pollock,1,1,0
MF Maharoof,Harbhajan Singh,19,8,0
DA Miller,VS Malik,3,3,0
Ishan Kishan,RA Jadeja,12,14,0
MS Dhoni,PP Chawla,82,59,2
DR Smith,Azhar Mahmood,3,6,0
